starttime	seconds	ctime	dtime	ttime	wait
Wed Feb 19 21:35:34 2014	1392838534	2	1	4	1
Wed Feb 19 21:35:34 2014	1392838534	3	1	4	1
Wed Feb 19 21:35:34 2014	1392838534	2	9	11	9
Wed Feb 19 21:35:34 2014	1392838534	2	9	11	9
Wed Feb 19 21:35:34 2014	1392838534	2	9	11	9
Wed Feb 19 21:35:34 2014	1392838534	2	9	11	9
Wed Feb 19 21:35:34 2014	1392838534	2	9	11	9
Wed Feb 19 21:35:34 2014	1392838534	2	9	11	9
Wed Feb 19 21:35:34 2014	1392838534	2	9	11	9
Wed Feb 19 21:35:34 2014	1392838534	2	9	11	9
Wed Feb 19 21:35:34 2014	1392838534	2	9	11	8
Wed Feb 19 21:35:34 2014	1392838534	2	9	11	9
Wed Feb 19 21:35:34 2014	1392838534	2	9	11	8
Wed Feb 19 21:35:34 2014	1392838534	3	9	11	9
Wed Feb 19 21:35:34 2014	1392838534	2	10	12	8
Wed Feb 19 21:35:34 2014	1392838534	2	10	12	8
Wed Feb 19 21:35:34 2014	1392838534	2	10	12	8
Wed Feb 19 21:35:34 2014	1392838534	2	10	12	8
Wed Feb 19 21:35:34 2014	1392838534	2	10	12	8
Wed Feb 19 21:35:34 2014	1392838534	2	10	12	8
Wed Feb 19 21:35:34 2014	1392838534	2	10	12	8
Wed Feb 19 21:35:34 2014	1392838534	2	10	12	8
Wed Feb 19 21:35:34 2014	1392838534	2	10	12	10
Wed Feb 19 21:35:34 2014	1392838534	2	11	13	10
Wed Feb 19 21:35:34 2014	1392838534	2	11	13	11
Wed Feb 19 21:35:34 2014	1392838534	2	11	13	11
Wed Feb 19 21:35:34 2014	1392838534	2	11	13	11
Wed Feb 19 21:35:34 2014	1392838534	2	12	14	12
Wed Feb 19 21:35:34 2014	1392838534	2	13	14	13
Wed Feb 19 21:35:34 2014	1392838534	2	13	15	13
Wed Feb 19 21:35:34 2014	1392838534	1	14	15	14
Wed Feb 19 21:35:34 2014	1392838534	1	15	16	15
Wed Feb 19 21:35:34 2014	1392838534	1	15	17	15
Wed Feb 19 21:35:34 2014	1392838534	2	16	17	16
Wed Feb 19 21:35:34 2014	1392838534	1	16	17	16
Wed Feb 19 21:35:35 2014	1392838535	2	16	18	16
Wed Feb 19 21:35:34 2014	1392838534	1	16	18	16
Wed Feb 19 21:35:34 2014	1392838534	1	17	18	16
Wed Feb 19 21:35:35 2014	1392838535	1	16	18	16
Wed Feb 19 21:35:35 2014	1392838535	1	17	18	17
Wed Feb 19 21:35:34 2014	1392838534	1	17	18	17
Wed Feb 19 21:35:35 2014	1392838535	1	17	18	17
Wed Feb 19 21:35:34 2014	1392838534	1	17	19	17
Wed Feb 19 21:35:34 2014	1392838534	1	17	19	17
Wed Feb 19 21:35:35 2014	1392838535	1	18	19	18
Wed Feb 19 21:35:35 2014	1392838535	1	19	20	19
Wed Feb 19 21:35:35 2014	1392838535	1	19	20	19
Wed Feb 19 21:35:35 2014	1392838535	1	20	20	20
Wed Feb 19 21:35:35 2014	1392838535	1	20	20	20
Wed Feb 19 21:35:35 2014	1392838535	1	19	21	19
Wed Feb 19 21:35:35 2014	1392838535	0	20	21	20
Wed Feb 19 21:35:35 2014	1392838535	0	20	21	20
Wed Feb 19 21:35:35 2014	1392838535	0	21	21	21
Wed Feb 19 21:35:35 2014	1392838535	0	21	21	21
Wed Feb 19 21:35:35 2014	1392838535	1	20	21	20
Wed Feb 19 21:35:35 2014	1392838535	0	21	21	21
Wed Feb 19 21:35:35 2014	1392838535	0	21	21	21
Wed Feb 19 21:35:35 2014	1392838535	0	21	22	21
Wed Feb 19 21:35:35 2014	1392838535	0	21	22	21
Wed Feb 19 21:35:35 2014	1392838535	0	22	22	22
Wed Feb 19 21:35:35 2014	1392838535	0	21	22	21
Wed Feb 19 21:35:35 2014	1392838535	0	22	22	22
Wed Feb 19 21:35:35 2014	1392838535	1	21	22	20
Wed Feb 19 21:35:35 2014	1392838535	1	21	22	21
Wed Feb 19 21:35:35 2014	1392838535	0	22	22	22
Wed Feb 19 21:35:35 2014	1392838535	0	22	22	22
Wed Feb 19 21:35:35 2014	1392838535	1	21	22	20
Wed Feb 19 21:35:35 2014	1392838535	1	21	22	20
Wed Feb 19 21:35:35 2014	1392838535	1	21	22	20
Wed Feb 19 21:35:35 2014	1392838535	1	21	22	20
Wed Feb 19 21:35:35 2014	1392838535	0	22	22	22
Wed Feb 19 21:35:35 2014	1392838535	0	22	22	22
Wed Feb 19 21:35:35 2014	1392838535	0	22	22	22
Wed Feb 19 21:35:35 2014	1392838535	0	22	22	22
Wed Feb 19 21:35:35 2014	1392838535	0	22	22	22
Wed Feb 19 21:35:35 2014	1392838535	0	22	22	22
Wed Feb 19 21:35:35 2014	1392838535	0	22	22	22
Wed Feb 19 21:35:35 2014	1392838535	0	22	22	22
Wed Feb 19 21:35:35 2014	1392838535	0	22	22	22
Wed Feb 19 21:35:35 2014	1392838535	0	22	22	22
Wed Feb 19 21:35:35 2014	1392838535	0	22	22	22
Wed Feb 19 21:35:35 2014	1392838535	0	22	22	22
Wed Feb 19 21:35:35 2014	1392838535	0	22	22	22
Wed Feb 19 21:35:35 2014	1392838535	0	22	22	22
Wed Feb 19 21:35:35 2014	1392838535	0	22	22	22
Wed Feb 19 21:35:35 2014	1392838535	0	22	22	22
Wed Feb 19 21:35:35 2014	1392838535	1	21	23	21
Wed Feb 19 21:35:35 2014	1392838535	0	23	23	23
Wed Feb 19 21:35:35 2014	1392838535	0	23	23	23
Wed Feb 19 21:35:35 2014	1392838535	0	23	23	23
Wed Feb 19 21:35:35 2014	1392838535	0	23	23	23
Wed Feb 19 21:35:35 2014	1392838535	0	23	23	23
Wed Feb 19 21:35:35 2014	1392838535	0	22	23	22
Wed Feb 19 21:35:35 2014	1392838535	0	23	23	23
Wed Feb 19 21:35:35 2014	1392838535	0	23	23	23
Wed Feb 19 21:35:35 2014	1392838535	0	23	23	23
Wed Feb 19 21:35:35 2014	1392838535	0	23	23	23
Wed Feb 19 21:35:35 2014	1392838535	1	22	23	22
Wed Feb 19 21:35:35 2014	1392838535	0	23	23	23
Wed Feb 19 21:35:35 2014	1392838535	0	23	23	23
Wed Feb 19 21:35:35 2014	1392838535	0	23	23	23
Wed Feb 19 21:35:35 2014	1392838535	0	23	23	23
Wed Feb 19 21:35:35 2014	1392838535	0	23	23	23
Wed Feb 19 21:35:35 2014	1392838535	0	23	23	23
Wed Feb 19 21:35:35 2014	1392838535	0	23	23	23
Wed Feb 19 21:35:35 2014	1392838535	0	23	23	23
Wed Feb 19 21:35:35 2014	1392838535	0	23	23	23
Wed Feb 19 21:35:35 2014	1392838535	0	23	23	23
Wed Feb 19 21:35:35 2014	1392838535	1	22	23	22
Wed Feb 19 21:35:35 2014	1392838535	0	23	23	23
Wed Feb 19 21:35:35 2014	1392838535	0	23	23	23
Wed Feb 19 21:35:35 2014	1392838535	0	23	23	23
Wed Feb 19 21:35:35 2014	1392838535	0	23	23	23
Wed Feb 19 21:35:35 2014	1392838535	0	23	23	23
Wed Feb 19 21:35:35 2014	1392838535	0	23	23	23
Wed Feb 19 21:35:35 2014	1392838535	0	23	23	23
Wed Feb 19 21:35:35 2014	1392838535	0	23	23	23
Wed Feb 19 21:35:35 2014	1392838535	0	23	23	23
Wed Feb 19 21:35:35 2014	1392838535	0	23	23	23
Wed Feb 19 21:35:35 2014	1392838535	0	23	23	23
Wed Feb 19 21:35:35 2014	1392838535	0	23	23	23
Wed Feb 19 21:35:35 2014	1392838535	0	23	23	23
