starttime	seconds	ctime	dtime	ttime	wait
Wed Feb 19 21:20:37 2014	1392837637	1	351	353	2
Wed Feb 19 21:20:37 2014	1392837637	1	351	353	2
Wed Feb 19 21:20:37 2014	1392837637	1	353	354	1
Wed Feb 19 21:20:37 2014	1392837637	1	355	356	1
Wed Feb 19 21:20:37 2014	1392837637	1	355	356	1
Wed Feb 19 21:20:37 2014	1392837637	1	356	357	1
Wed Feb 19 21:20:37 2014	1392837637	1	361	362	1
Wed Feb 19 21:20:37 2014	1392837637	1	361	362	1
Wed Feb 19 21:20:37 2014	1392837637	1	364	365	2
Wed Feb 19 21:20:37 2014	1392837637	1	365	366	1
Wed Feb 19 21:20:37 2014	1392837637	1	365	366	1
Wed Feb 19 21:20:37 2014	1392837637	1	365	366	1
Wed Feb 19 21:20:37 2014	1392837637	1	366	367	1
Wed Feb 19 21:20:37 2014	1392837637	1	366	367	1
Wed Feb 19 21:20:37 2014	1392837637	1	366	367	1
Wed Feb 19 21:20:37 2014	1392837637	1	366	367	1
Wed Feb 19 21:20:37 2014	1392837637	1	367	368	1
Wed Feb 19 21:20:37 2014	1392837637	1	367	368	1
Wed Feb 19 21:20:37 2014	1392837637	1	367	369	1
Wed Feb 19 21:20:37 2014	1392837637	1	367	369	1
Wed Feb 19 21:20:37 2014	1392837637	1	367	369	1
Wed Feb 19 21:20:37 2014	1392837637	1	368	369	1
Wed Feb 19 21:20:37 2014	1392837637	1	368	369	1
Wed Feb 19 21:20:37 2014	1392837637	1	368	369	1
Wed Feb 19 21:20:32 2014	1392837632	1	368	370	1
Wed Feb 19 21:20:32 2014	1392837632	1	369	370	1
Wed Feb 19 21:20:37 2014	1392837637	1	369	370	2
Wed Feb 19 21:20:33 2014	1392837633	1	369	370	1
Wed Feb 19 21:20:37 2014	1392837637	1	369	370	1
Wed Feb 19 21:20:33 2014	1392837633	1	369	370	1
Wed Feb 19 21:20:33 2014	1392837633	1	369	370	1
Wed Feb 19 21:20:33 2014	1392837633	1	369	370	1
Wed Feb 19 21:20:32 2014	1392837632	1	369	370	1
Wed Feb 19 21:20:32 2014	1392837632	1	369	370	1
Wed Feb 19 21:20:32 2014	1392837632	1	369	370	1
Wed Feb 19 21:20:37 2014	1392837637	1	369	370	1
Wed Feb 19 21:20:32 2014	1392837632	1	369	370	1
Wed Feb 19 21:20:32 2014	1392837632	1	369	370	1
Wed Feb 19 21:20:32 2014	1392837632	1	369	370	1
Wed Feb 19 21:20:32 2014	1392837632	1	369	370	1
Wed Feb 19 21:20:37 2014	1392837637	1	369	370	1
Wed Feb 19 21:20:37 2014	1392837637	1	369	370	1
Wed Feb 19 21:20:33 2014	1392837633	1	369	370	1
Wed Feb 19 21:20:32 2014	1392837632	1	369	370	1
Wed Feb 19 21:20:33 2014	1392837633	1	369	370	1
Wed Feb 19 21:20:32 2014	1392837632	1	369	370	1
Wed Feb 19 21:20:33 2014	1392837633	1	369	370	1
Wed Feb 19 21:20:33 2014	1392837633	1	369	370	1
Wed Feb 19 21:20:32 2014	1392837632	1	369	370	1
Wed Feb 19 21:20:32 2014	1392837632	1	369	370	1
Wed Feb 19 21:20:32 2014	1392837632	1	369	370	1
Wed Feb 19 21:20:32 2014	1392837632	1	369	370	2
Wed Feb 19 21:20:32 2014	1392837632	1	369	370	1
Wed Feb 19 21:20:32 2014	1392837632	1	369	370	1
Wed Feb 19 21:20:32 2014	1392837632	1	369	370	1
Wed Feb 19 21:20:32 2014	1392837632	1	369	370	1
Wed Feb 19 21:20:33 2014	1392837633	1	369	370	1
Wed Feb 19 21:20:33 2014	1392837633	1	369	370	1
Wed Feb 19 21:20:33 2014	1392837633	1	369	370	1
Wed Feb 19 21:20:33 2014	1392837633	1	369	370	1
Wed Feb 19 21:20:33 2014	1392837633	1	369	370	1
Wed Feb 19 21:20:33 2014	1392837633	1	369	370	1
Wed Feb 19 21:20:33 2014	1392837633	1	369	370	1
Wed Feb 19 21:20:33 2014	1392837633	1	369	370	1
Wed Feb 19 21:20:37 2014	1392837637	1	369	370	1
Wed Feb 19 21:20:33 2014	1392837633	1	369	370	1
Wed Feb 19 21:20:33 2014	1392837633	1	369	370	1
Wed Feb 19 21:20:33 2014	1392837633	1	369	370	1
Wed Feb 19 21:20:33 2014	1392837633	1	369	370	1
Wed Feb 19 21:20:33 2014	1392837633	1	369	370	1
Wed Feb 19 21:20:33 2014	1392837633	1	369	370	2
Wed Feb 19 21:20:33 2014	1392837633	1	369	370	1
Wed Feb 19 21:20:37 2014	1392837637	1	369	370	1
Wed Feb 19 21:20:33 2014	1392837633	1	369	370	1
Wed Feb 19 21:20:33 2014	1392837633	1	369	371	1
Wed Feb 19 21:20:33 2014	1392837633	1	370	371	1
Wed Feb 19 21:20:33 2014	1392837633	1	369	371	1
Wed Feb 19 21:20:33 2014	1392837633	1	369	371	1
Wed Feb 19 21:20:33 2014	1392837633	1	369	371	1
Wed Feb 19 21:20:33 2014	1392837633	1	369	371	1
Wed Feb 19 21:20:33 2014	1392837633	1	369	371	1
Wed Feb 19 21:20:33 2014	1392837633	1	369	371	1
Wed Feb 19 21:20:33 2014	1392837633	1	369	371	1
Wed Feb 19 21:20:33 2014	1392837633	1	369	371	1
Wed Feb 19 21:20:33 2014	1392837633	1	369	371	1
Wed Feb 19 21:20:33 2014	1392837633	1	369	371	1
Wed Feb 19 21:20:33 2014	1392837633	1	369	371	1
Wed Feb 19 21:20:33 2014	1392837633	1	369	371	1
Wed Feb 19 21:20:33 2014	1392837633	1	369	371	1
Wed Feb 19 21:20:33 2014	1392837633	1	369	371	1
Wed Feb 19 21:20:33 2014	1392837633	1	369	371	1
Wed Feb 19 21:20:33 2014	1392837633	1	369	371	1
Wed Feb 19 21:20:33 2014	1392837633	1	369	371	1
Wed Feb 19 21:20:33 2014	1392837633	1	369	371	1
Wed Feb 19 21:20:33 2014	1392837633	1	370	371	1
Wed Feb 19 21:20:33 2014	1392837633	1	370	371	1
Wed Feb 19 21:20:33 2014	1392837633	1	369	371	2
Wed Feb 19 21:20:33 2014	1392837633	1	370	371	2
Wed Feb 19 21:20:33 2014	1392837633	1	370	371	2
Wed Feb 19 21:20:33 2014	1392837633	1	369	371	1
Wed Feb 19 21:20:33 2014	1392837633	1	369	371	1
Wed Feb 19 21:20:33 2014	1392837633	1	369	371	1
Wed Feb 19 21:20:33 2014	1392837633	1	370	371	1
Wed Feb 19 21:20:32 2014	1392837632	1	370	371	1
Wed Feb 19 21:20:33 2014	1392837633	1	369	371	1
Wed Feb 19 21:20:33 2014	1392837633	1	369	371	1
Wed Feb 19 21:20:32 2014	1392837632	1	370	371	2
Wed Feb 19 21:20:32 2014	1392837632	1	370	371	2
Wed Feb 19 21:20:33 2014	1392837633	1	370	371	1
Wed Feb 19 21:20:33 2014	1392837633	1	369	371	1
Wed Feb 19 21:20:32 2014	1392837632	1	369	371	2
Wed Feb 19 21:20:33 2014	1392837633	1	369	371	1
Wed Feb 19 21:20:32 2014	1392837632	1	370	371	2
Wed Feb 19 21:20:33 2014	1392837633	1	369	371	1
Wed Feb 19 21:20:32 2014	1392837632	1	370	371	2
Wed Feb 19 21:20:32 2014	1392837632	1	370	371	2
Wed Feb 19 21:20:32 2014	1392837632	1	370	371	2
Wed Feb 19 21:20:32 2014	1392837632	1	370	371	2
Wed Feb 19 21:20:32 2014	1392837632	1	370	371	2
Wed Feb 19 21:20:33 2014	1392837633	1	370	371	2
Wed Feb 19 21:20:33 2014	1392837633	1	369	371	2
Wed Feb 19 21:20:33 2014	1392837633	1	370	371	2
Wed Feb 19 21:20:33 2014	1392837633	1	370	371	2
Wed Feb 19 21:20:33 2014	1392837633	1	370	371	2
Wed Feb 19 21:20:33 2014	1392837633	1	370	371	2
Wed Feb 19 21:20:33 2014	1392837633	1	370	371	2
Wed Feb 19 21:20:33 2014	1392837633	1	370	371	2
Wed Feb 19 21:20:33 2014	1392837633	1	370	371	2
Wed Feb 19 21:20:33 2014	1392837633	1	370	371	2
Wed Feb 19 21:20:33 2014	1392837633	1	370	371	2
Wed Feb 19 21:20:34 2014	1392837634	1	370	371	1
Wed Feb 19 21:20:33 2014	1392837633	1	370	371	2
Wed Feb 19 21:20:33 2014	1392837633	1	370	371	2
Wed Feb 19 21:20:33 2014	1392837633	1	370	371	2
Wed Feb 19 21:20:33 2014	1392837633	1	370	371	2
Wed Feb 19 21:20:33 2014	1392837633	1	370	371	2
